Air Flow,Bearing Type,Color,Features,Kind,LED Color,Link,Manufacturer,Model,Name,Noise Level,Part #,Prices,RPM,Size,Static Pressure,avg,short_link,fan_size,air_flow,max_flow,min_flow,rpm,rpm_min,rpm_max,noise,has_LED,static_pressure
39.8 CFM,Nanoflux Bearing (NFB),Black/Green,"Optimized Winglet Fan Blades<br/>Waterproof &amp; Dustproof<br/>Long Lifetime (100'000 h MTTF at 40 degree C)<br/>Silicone Fan Mounts<br/>Safety Approvals:  UL, CUL, CE, RoHS Compliant",Case Fan,,/product/zqTmP6/gelid-solutions-case-fan-fnfw0920,Gelid Solutions,,Gelid Solutions FN-FW09-20 39.8 CFM  92mm Fan,22.5 dbA,FN-FW09-20,"[16.74, 16.84, 16.84, 18.94]",2000 RPM,92mm,,17.34,gelid-solutions-case-fan-fnfw0920,92.0,39.8 ,39.8 ,39.8,2000 ,2000.0,2000.0,22.5,No,0.0
21.9 CFM,Hydro Dynamic Bearing,White,Silent Operation<br/>Optimized Fan Blades<br/>High Airflow &amp; High Static Pressure<br/>Long Lifetime (50000 h MTTF at 40 Degrees C),Case Fan,,/product/b37wrH/gelid-solutions-case-fan-fnsx0540,Gelid Solutions,,Gelid Solutions FN-SX05-40 21.9 CFM  50mm Fan,23.0 dbA,FN-SX05-40,"[7.99, 9.98, 10.89, 11.49]",4000 RPM,50mm,,10.0875,gelid-solutions-case-fan-fnsx0540,50.0,21.9 ,21.9 ,21.9,4000 ,4000.0,4000.0,23.0,No,0.0
50.0 CFM,Sleeve,Red/Black,"TurboFan, bullet-shaped fan hub, for improved air flow<br/>Connects directly to Power Supply<br/>Application for DC 12V<br/>UL, CE approved",Case Fan,,/product/z3Lypg/thermaltake-case-fan-a2492,Thermaltake,,Thermaltake A2492 50.0 CFM  120mm Fan,17.0 dbA,A2492,[],1400 RPM,120mm,,0.0,thermaltake-case-fan-a2492,120.0,50.0 ,50.0 ,50.0,1400 ,1400.0,1400.0,17.0,No,0.0
17.2 CFM,,Blue,"Seven UV-reactive blades and black frame<br/>Can plug into motherboard or power supply<br/>Material: UV reactive PU plastic<br/>Air Power: 12 VDC<br/>Operation Voltage Range: 7 VDC ~ 13.5 VDC<br/>Start-up Voltage: 7 VDC<br/>Rated Voltage: 12 VDC<br/>Rated Current: 0.17 A<br/>Lock Rotor Current: 0.07  A<br/>Static Air Pressure: 0.88mm-H2O<br/>Life Expectation: 25,000 hours",Case Fan,Blue,/product/KPZQzy/apevia-case-fan-cf8slbbl,Apevia,,Apevia CF8SL-BBL 17.2 CFM  80mm Fan,20.0 dbA,CF8SL-BBL,"[6.99, 7.9]",1500 RPM,80mm,0.88 mm/H2O,7.445,apevia-case-fan-cf8slbbl,80.0,17.2 ,17.2 ,17.2,1500 ,1500.0,1500.0,20.0,Yes,0.88
33.0 CFM,Fluid Dynamic,Black/Yellow,"Unique 3D frame design for optimal air flow<br/>Special air-stabilizing fan blade design<br/>Fluid Dynamic Sleeve Bearing<br/>Cable with textile sheathing<br/>Universal connection cable (50 cm with 3-pin plug)<br/>PSU adapter cable included (3-pin &gt; 4-pin PSU)<br/>Available color versions: black/yellow, black/red, black/blue and black/green",Case Fan,,/product/dFFPxr/sharkoon-case-fan-000skby,SHARKOON,,SHARKOON 000SKBY 33.0 CFM  120mm Fan,19.0 dbA,000SKBY,[],1000 RPM,120mm,2.63 mm/H2O,0.0,sharkoon-case-fan-000skby,120.0,33.0 ,33.0 ,33.0,1000 ,1000.0,1000.0,19.0,No,2.63
,Long Life Bearing,Clear,"Long Life Bearing (EBR)<br/>Long Life Bearing applied, minimizing noise and inflow of the dust For longer life cycle.<br/>Minimized noise and vibration<br/>Minimized noise and vibration through lowest rpm. Suitable for silent system environment.<br/>Shark fin blade design<br/>Optimized for maximum airflow, Shark`s Fin blade greatly reduces the turbulence<br/>caused by fan rotation, thus decreasing the noise and vibration while increasing the airflow.<br/>Blue LED<br/>Blue LED applied for beautiful tuning effect.<br/>Silicone pin provided<br/>Silicone pin absorbs the vibration between the fan and the case allowing a quiet work environment.",Case Fan,Blue,/product/MMPfrH/zalman-case-fan-f1ledsf,Zalman,,Zalman F1 LED (SF) 80mm Fan,20.0 - 23.0 dbA,F1 LED (SF),[],2000 RPM,80mm,,0.0,zalman-case-fan-f1ledsf,80.0,0,0,0.0,2000 ,2000.0,2000.0,23.0,Yes,0.0
4.5 CFM,Ever Lubricate,Black,Voltage: 5VDC,Case Fan,,/product/NdZQzy/evercool-case-fan-fanec3510m05e,Evercool,,Evercool FAN-EC3510M05E 4.5 CFM  35mm Fan,31.8 dbA,FAN-EC3510M05E,[],8000 RPM,35mm,,0.0,evercool-case-fan-fanec3510m05e,35.0,4.5 ,4.5 ,4.5,8000 ,8000.0,8000.0,31.8,No,0.0
21.5 - 23.6 CFM,,Black/Green,"The 92 mm model of the Deep Silence fan series is supplied with a 7 volt adapter cable. At 12 volts this fan rotates at 1,400 revolutions per minute. The Deep Silence 120 mm generates an air flow of 23.6 CFM at a noise level of 13.7 dB(A). Using the 7 volt cable reduces the speed to approx. 800 rpm, which generates and air flow of 21.5 CFM at 7.2 dB(A).",Case Fan,,/product/Hn3RsY/nanoxia-case-fan-nds921400,Nanoxia,,Nanoxia NDS92-1400 23.6 CFM  92mm Fan,7.2 - 13.7 dbA,NDS92-1400,[],800 - 1400 RPM,92mm,,0.0,nanoxia-case-fan-nds921400,92.0,21.5 - 23.6 ,23.6,21.5,800 - 1400 ,800.0,1400.0,13.7,No,0.0
,ELQ (EverLasting Quiet),White,"Shark's Fin Blade Design<br/>ELQ (EverLasting Quiet) Bearing Technology<br/>Anti-Vibration Silicone Pads &amp; Pins<br/>150,000 Hours Guaranteed Product Lifespan",Case Fan,,/product/wdZQzy/zalman-case-fan-sf3,Zalman,,Zalman SF3 120mm Fan,23.0 dbA,SF3,[],1500 RPM,120mm,,0.0,zalman-case-fan-sf3,120.0,0,0,0.0,1500 ,1500.0,1500.0,23.0,No,0.0
58.3 CFM,Hydro Dynamic Bearing,White,Innovative Silent Fan with Advanced Technology<br/>Unique ISGC Fan Blade<br/>Hydro Dynamic Bearing (HDB),Case Fan,,/product/3L3RsY/thermaltake-case-fan-af0018,Thermaltake,,Thermaltake AF0018 58.3 CFM  120mm Fan,16.0 dbA,AF0018,[],800 - 1300 RPM,120mm,,0.0,thermaltake-case-fan-af0018,120.0,58.3 ,58.3 ,58.3,800 - 1300 ,800.0,1300.0,16.0,No,0.0
79.0 CFM,,Clear,3-speed switch lets you balance quiet performance with maximum cooling<br/>3-pin and 4-pin power connectors provide convenient connections to your motherboard or power supply<br/>Fan-speed monitoring capability included (requires compatible motherboard),Case Fan,,/product/4KvRsY/antec-case-fan-761345751209,Antec,75120,Antec 75120 79.0 CFM  120mm Fan,30.0 dbA,761345-75120-9,"[9.98, 10.99, 9.99, 9.99]",2000 RPM,120mm,,10.2375,antec-case-fan-761345751209,120.0,79.0 ,79.0 ,79.0,2000 ,2000.0,2000.0,30.0,No,0.0
40.2 CFM,,Transparent,Cycling LED design with brilliant dual-ring pattern<br/>Dynamic lighting mode to meet your visual desire<br/>Silent spinning with excellent cooling performance<br/>Rubber screws to reduce vibration and keep silent operation,Case Fan,Red,/product/86Gkcf/lepa-case-fan-lpcp12nr,LEPA,,LEPA LPCP12N-R 40.2 CFM  120mm Fan,16.0 dbA,LPCP12N-R,[],900 RPM,120mm,,0.0,lepa-case-fan-lpcp12nr,120.0,40.2 ,40.2 ,40.2,900 ,900.0,900.0,16.0,Yes,0.0
54.3 - 92.0 CFM,2 Ball,Black,Temperature Control Sensor Adjusts Fan Speed Automatically<br/>Low Power Usage and Low Noise Level<br/>Double Ball Bearing For Extended Life,Case Fan,,/product/8fQypg/vantec-case-fan-tf12025,Vantec,,Vantec TF12025 92.0 CFM  120mm Fan,29.0 - 39.0 dbA,TF12025,[],1300 - 2200 RPM,120mm,,0.0,vantec-case-fan-tf12025,120.0,54.3 - 92.0 ,92.0,54.3,1300 - 2200 ,1300.0,2200.0,39.0,No,0.0
89.5 CFM,Rifle Bearing,Black/White,"11 Blade Rifle Bearing Fan<br/>LED On/Off Switch<br/>Compatible with Phantom LED Switch<br/>Sleeved Cables<br/>Voltage: 12V DC<br/>Current: 0.42A+10%<br/>Input: 5.04W<br/>Air Pressure: 0.98mm H2O<br/>Life: 40,000 hours",Case Fan,Red,/product/fqjG3C/nzxt-case-fan-fs200rbrled,NZXT,,NZXT FS-200RB-RLED 89.5 CFM  193mm Fan,20.2 dbA,FS-200RB-RLED,[],700 RPM,193mm,0.98 mm/H2O,0.0,nzxt-case-fan-fs200rbrled,193.0,89.5 ,89.5 ,89.5,700 ,700.0,700.0,20.2,Yes,0.98
16.9 CFM,,Clear,,Case Fan,,/product/WYkD4D/apevia-case-fan-cf8s,Apevia,,Apevia CF8S 16.9 CFM  80mm Fan,16.6 dbA,CF8S,"[4.49, 9.47]",1500 RPM,80mm,,6.98,apevia-case-fan-cf8s,80.0,16.9 ,16.9 ,16.9,1500 ,1500.0,1500.0,16.6,No,0.0
89.5 CFM,Rifle Bearing,Black/White,"11 Blade Rifle Bearing Fan<br/>LED On/Off Switch<br/>Compatible with Phantom LED Switch<br/>Sleeved Cables<br/>Voltage: 12V DC<br/>Current: 0.42A+10%<br/>Input: 5.04W<br/>Air Pressure: 0.98mm H2O<br/>Life: 40,000 hours",Case Fan,Blue,/product/LM9KHx/nzxt-case-fan-fs200rbbled,NZXT,,NZXT FS-200RB-BLED 89.5 CFM  193mm Fan,20.2 dbA,FS-200RB-BLED,[],700 RPM,193mm,0.98 mm/H2O,0.0,nzxt-case-fan-fs200rbbled,193.0,89.5 ,89.5 ,89.5,700 ,700.0,700.0,20.2,Yes,0.98
89.5 CFM,Rifle Bearing,Black/White,"11 Blade Rifle Bearing Fan<br/>LED On/Off Switch<br/>Compatible with Phantom LED Switch<br/>Sleeved Cables<br/>Voltage: 12V DC<br/>Current: 0.42A+10%<br/>Input: 5.04W<br/>Air Pressure: 0.98mm H2O<br/>Life: 40,000 hours",Case Fan,Green,/product/GyYXsY/nzxt-case-fan-fs200rbgled,NZXT,,NZXT FS-200RB-GLED 89.5 CFM  193mm Fan,20.2 dbA,FS-200RB-GLED,[],700 RPM,193mm,0.98 mm/H2O,0.0,nzxt-case-fan-fs200rbgled,193.0,89.5 ,89.5 ,89.5,700 ,700.0,700.0,20.2,Yes,0.98
83.6 CFM,Long Life Bearing,Clear,Optimized for extreme airflow 140mm fan with minimal speeds of 1000+/- 200 RPM<br/>Low noise level 24.54 dBA with exceptional airflow at 83.6 CFM,Case Fan,Green,/product/qG9KHx/nzxt-case-fan-rffz140g1,NZXT,Air Flow Series,NZXT Air Flow Series 83.6 CFM  140mm Fan,24.5 dbA,RF-FZ140-G1,[],1000 RPM,140mm,0.81 mm/H2O,0.0,nzxt-case-fan-rffz140g1,140.0,83.6 ,83.6 ,83.6,1000 ,1000.0,1000.0,24.5,Yes,0.81
